url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,165,77
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.0,45,32
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,13,12
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.2.0,10,9
/mmvanheusden/SteamDepotDownloaderGUI/releases,10,5
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,8,4
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,7,6
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/index.html,5,2
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/README.md,5,1
/mmvanheusden/SteamDepotDownloaderGUI/tags,5,1
