time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-03 00:00:00+00:00,2,2,3,3
2022-11-04 00:00:00+00:00,0,0,5,3
2022-11-05 00:00:00+00:00,1,1,23,6
2022-11-06 00:00:00+00:00,0,0,8,4
2022-11-07 00:00:00+00:00,6,4,10,4
2022-11-08 00:00:00+00:00,2,1,8,5
2022-11-09 00:00:00+00:00,16,12,6,2
2022-11-10 00:00:00+00:00,13,9,16,5
2022-11-11 00:00:00+00:00,15,10,16,5
2022-11-12 00:00:00+00:00,3,2,22,10
2022-11-13 00:00:00+00:00,2,2,6,3
2022-11-14 00:00:00+00:00,4,3,10,4
2022-11-15 00:00:00+00:00,4,1,25,9
2022-11-16 00:00:00+00:00,8,3,32,5
2022-11-17 00:00:00+00:00,9,6,11,6
2022-11-18 00:00:00+00:00,9,7,7,3
2022-11-19 00:00:00+00:00,15,10,11,5
2022-11-20 00:00:00+00:00,3,3,11,6
2022-11-21 00:00:00+00:00,3,3,10,5
2022-11-22 00:00:00+00:00,5,4,12,8
2022-11-23 00:00:00+00:00,4,3,58,9
